ID	log2Exp	log2FC
ASHGA5P000944	8.559	1.297
ASHGA5P000945	11.045	-2.537
ASHGA5P000946	10.205	-1.425
ASHGA5P000947	6.512	-6
ASHGA5P000948	6.39	3.869
ASHGA5P000949	8.057	-2.615
ASHGA5P000950	9.824	-1.937
ASHGA5P000952	6.969	-5.626
ASHGA5P000953	7.846	-2.524
ASHGA5P000954	8.259	-2.057
ASHGA5P000955	13.169	-0.717
ASHGA5P000956	4.941	5.133
ASHGA5P000957	4.355	0.922
ASHGA5P000958	13.404	-1.146
ASHGA5P000959	9.127	0.644
ASHGA5P000960	9.459	0.77
ASHGA5P000961	4.989	0.612
ASHGA5P000963	9.748	-1.892
ASHGA5P000964	7.151	-1.698
ASHGA5P000965	3.821	-2.537
ASHGA5P000966	14.824	-0.337
ASHGA5P000967	2.692	0.608
ASHGA5P000968	12.863	-1.702
ASHGA5P000969	3.084	1.215
ASHGA5P000970	14.144	-1.726
ASHGA5P000971	8.934	-1.678
ASHGA5P000972	6.891	1.025
ASHGA5P000974	8.006	-4.923
ASHGA5P000975	3.205	1.143
ASHGA5P000976	11.48	-1.289
ASHGA5P000977	11.42	0.322
ASHGA5P000978	6.152	-4.343
ASHGA5P000979	8.913	-4.616
ASHGA5P000980	8.587	-2.518
ASHGA5P000981	5.14	-2.395
ASHGA5P000983	10.035	2.962
ASHGA5P000984	7.167	-1.557
ASHGA5P000985	2.99	-0.874
ASHGA5P000986	4.81	0.789
ASHGA5P000988	8.986	1.316
ASHGA5P000990	8.396	-1.314
ASHGA5P000991	6.318	-3.246
ASHGA5P000992	7.001	-2.613
ASHGA5P000993	9.408	1.664
ASHGA5P000995	5.958	0.621
ASHGA5P000996	3.101	-1.089
ASHGA5P000998	9.485	1.032
ASHGA5P000999	6.987	0.582
ASHGA5P001001	7.378	0.943
ASHGA5P001002	6.944	0.937
ASHGA5P001004	3.742	-0.818
ASHGA5P001007	4.304	-0.557
ASHGA5P001008	8.374	0.479
ASHGA5P001009	11.862	0.445
ASHGA5P001010	2.945	1.14
ASHGA5P001012	6.02	0.703
ASHGA5P001013	9.512	-1.85
ASHGA5P001014	10.114	-0.787
ASHGA5P001015	7.315	-3.275
ASHGA5P001017	9.153	-3.533
ASHGA5P001019	13.984	-0.557
ASHGA5P001020	4.372	1.075
ASHGA5P001022	9.605	1.726
ASHGA5P001027	4.711	0.784
ASHGA5P001028	8.29	0.719
ASHGA5P001031	4.938	-2.522
ASHGA5P001032	3.028	-0.949
ASHGA5P001033	8.551	-2.43
ASHGA5P001034	3.938	1.395
ASHGA5P001035	5.593	-0.905
ASHGA5P001036	5.138	-3.424
ASHGA5P001038	3.301	-1.501
ASHGA5P001039	15.207	-1.75
ASHGA5P001040	4.295	2.161
ASHGA5P001041	3.35	-1.597
ASHGA5P001043	4.608	-3.918
ASHGA5P001044	8.047	1.194
ASHGA5P001045	7.309	-1.863
ASHGA5P001046	11.008	-0.886
ASHGA5P001048	5.796	1.481
ASHGA5P001049	5.073	-2.007
ASHGA5P001050	4.203	-3.308
ASHGA5P001051	11.407	1.908
ASHGA5P001052	9.133	1.706
ASHGA5P001054	5.991	-1.361
ASHGA5P001055	6.198	1.531
ASHGA5P001058	6.413	0.459
ASHGA5P001059	8.82	2.467
